rsi1,rsi2,rsi3,rsi4,rsi5,rsi6,stoch1,stoch2,stoch3,stoch4,stoch5,stoch6,ema20Slope1,ema20Slope2,ema20Slope3,ema20Slope4,ema20Slope5,ema20Slope6,ema50Slope1,ema50Slope2,ema50Slope3,ema50Slope4,ema50Slope5,ema50Slope6,ema100Slope1,ema100Slope2,ema100Slope3,ema100Slope4,ema100Slope5,ema100Slope6,ema200Slope1,ema200Slope2,ema200Slope3,ema200Slope4,ema200Slope5,ema200Slope6,std1,std2,std3,std4,std5,std6,mom1,mom2,mom3,mom4,mom5,mom6,BB_up_percen1,BB_up_percen2,BB_up_percen3,BB_up_percen4,BB_up_percen5,BB_up_percen6,cci1,cci2,cci3,cci4,cci5,cci6,force1,force2,force3,force4,force5,force6,macd1,macd2,macd3,macd4,macd5,macd6,bearsPower1,bearsPower2,bearsPower3,bearsPower4,bearsPower5,bearsPower6,bullsPower1,bullsPower2,bullsPower3,bullsPower4,bullsPower5,bullsPower6,WPR1,WPR2,WPR3,WPR4,WPR5,WPR6,close1,close2,close3,close4,close5,close6,hour,dayOfWeek,tipo
38.37,36.37,28.16,30.66,29.34,31.59,45.11,29.81,12.9,21.31,25.31,42.59,-0.00015,-0.00021,-0.00037,-0.00031,-0.00037,-0.00032,-0.00024,-0.00026,-0.00033,-0.00031,-0.00033,-0.00031,-0.00024,-0.00025,-0.00029,-0.00027,-0.00028,-0.00027,-1.33375,-0.00021,-0.00023,-0.00022,-0.00023,-0.00022,0.00248,0.00261,0.00286,0.00304,0.00303,0.00299,99.64,99.62,99.46,99.52,99.55,99.67,0.34,0.28,0.14,0.2,0.14,0.18,-44.4,-71.94,-78.51,-80.68,-80.21,-75.9,-3.3,-3.17,-5.25,-2.07,-1.75,-0.55,-0.00205,-0.00218,-0.00228,-0.00224,-0.00225,-0.00221,-0.00187,-0.0024,-0.00255,-0.0025,-0.00256,-0.00197,0.00005,-0.00066,0.00012,-0.00145,-0.00095,-0.00157,-77.84,-82.02,-97.91,-91.81,-97.35,-88.99,1.3129,1.3129,1.3129,1.3129,1.3129,1.3129,20,2,1
40.43,38.37,36.37,28.16,30.66,29.34,71.66,45.11,29.81,12.9,21.31,25.31,-0.0001,-0.00015,-0.00021,-0.00037,-0.00031,-0.00037,-0.00022,-0.00024,-0.00026,-0.00033,-0.00031,-0.00033,-0.00023,-0.00024,-0.00025,-0.00029,-0.00027,-0.00028,-1.33354,-0.00021,-0.00021,-0.00023,-0.00022,-0.00023,0.00241,0.00248,0.00261,0.00286,0.00304,0.00303,99.68,99.64,99.62,99.46,99.52,99.55,0.39,0.34,0.28,0.14,0.2,0.14,1.43,-44.4,-71.94,-78.51,-80.68,-80.21,-0.2,-3.3,-3.17,-5.25,-2.07,-1.75,-0.00189,-0.00205,-0.00218,-0.00228,-0.00224,-0.00225,-0.00111,-0.00187,-0.0024,-0.00255,-0.0025,-0.00256,0.00011,0.00005,-0.00066,0.00012,-0.00145,-0.00095,-71.32,-77.84,-82.02,-97.91,-91.81,-97.35,1.3133,1.3133,1.3133,1.3133,1.3133,1.3133,0,3,1
39.43,40.43,38.37,36.37,28.16,30.66,77.53,71.66,45.11,29.81,12.9,21.31,-0.00012,-0.0001,-0.00015,-0.00021,-0.00037,-0.00031,-0.00022,-0.00022,-0.00024,-0.00026,-0.00033,-0.00031,-0.00023,-0.00023,-0.00024,-0.00025,-0.00029,-0.00027,-1.33334,-0.0002,-0.00021,-0.00021,-0.00023,-0.00022,0.00229,0.00241,0.00248,0.00261,0.00286,0.00304,99.9,99.68,99.64,99.62,99.46,99.52,0.38,0.39,0.34,0.28,0.14,0.2,46.23,1.43,-44.4,-71.94,-78.51,-80.68,-0.05,-0.2,-3.3,-3.17,-5.25,-2.07,-0.00176,-0.00189,-0.00205,-0.00218,-0.00228,-0.00224,-0.00045,-0.00111,-0.00187,-0.0024,-0.00255,-0.0025,0.0002,0.00011,0.00005,-0.00066,0.00012,-0.00145,-42.78,-71.32,-77.84,-82.02,-97.91,-91.81,1.313,1.313,1.313,1.313,1.313,1.313,4,3,1
39.23,39.43,40.43,38.37,36.37,28.16,79.85,77.53,71.66,45.11,29.81,12.9,-0.00011,-0.00012,-0.0001,-0.00015,-0.00021,-0.00037,-0.00021,-0.00022,-0.00022,-0.00024,-0.00026,-0.00033,-0.00023,-0.00023,-0.00023,-0.00024,-0.00025,-0.00029,-1.33314,-0.0002,-0.0002,-0.00021,-0.00021,-0.00023,0.00208,0.00229,0.00241,0.00248,0.00261,0.00286,99.98,99.9,99.68,99.64,99.62,99.46,0.4,0.38,0.39,0.34,0.28,0.14,25.4,46.23,1.43,-44.4,-71.94,-78.51,0.15,-0.05,-0.2,-3.3,-3.17,-5.25,-0.00165,-0.00176,-0.00189,-0.00205,-0.00218,-0.00228,-0.00103,-0.00045,-0.00111,-0.00187,-0.0024,-0.00255,0.00027,0.0002,0.00011,0.00005,-0.00066,0.00012,-44.19,-42.78,-71.32,-77.84,-82.02,-97.91,1.313,1.313,1.313,1.313,1.313,1.313,8,3,1
46.1,39.23,39.43,40.43,38.37,36.37,70.86,79.85,77.53,71.66,45.11,29.81,0.00001,-0.00011,-0.00012,-0.0001,-0.00015,-0.00021,-0.00016,-0.00021,-0.00022,-0.00022,-0.00024,-0.00026,-0.0002,-0.00023,-0.00023,-0.00023,-0.00024,-0.00025,-1.33293,-0.0002,-0.0002,-0.0002,-0.00021,-0.00021,0.00186,0.00208,0.00229,0.00241,0.00248,0.00261,100.12,99.98,99.9,99.68,99.64,99.62,0.57,0.4,0.38,0.39,0.34,0.28,171.5,25.4,46.23,1.43,-44.4,-71.94,1.57,0.15,-0.05,-0.2,-3.3,-3.17,-0.00145,-0.00165,-0.00176,-0.00189,-0.00205,-0.00218,-0.00078,-0.00103,-0.00045,-0.00111,-0.00187,-0.0024,0.0023,0.00027,0.0002,0.00011,0.00005,-0.00066,-32.98,-44.19,-42.78,-71.32,-77.84,-82.02,1.3141,1.3141,1.3141,1.3141,1.3141,1.3141,12,3,1
48.27,46.1,39.23,39.43,40.43,38.37,66.03,70.86,79.85,77.53,71.66,45.11,0.00005,0.00001,-0.00011,-0.00012,-0.0001,-0.00015,-0.00014,-0.00016,-0.00021,-0.00022,-0.00022,-0.00024,-0.00019,-0.0002,-0.00023,-0.00023,-0.00023,-0.00024,-1.33275,-0.00019,-0.0002,-0.0002,-0.0002,-0.00021,0.0017,0.00186,0.00208,0.00229,0.00241,0.00248,100.14,100.12,99.98,99.9,99.68,99.64,0.67,0.57,0.4,0.38,0.39,0.34,200.98,171.5,25.4,46.23,1.43,-44.4,0.44,1.57,0.15,-0.05,-0.2,-3.3,-0.00124,-0.00145,-0.00165,-0.00176,-0.00189,-0.00205,0.00054,-0.00078,-0.00103,-0.00045,-0.00111,-0.00187,0.00249,0.0023,0.00027,0.0002,0.00011,0.00005,-29.68,-32.98,-44.19,-42.78,-71.32,-77.84,1.3145,1.3145,1.3145,1.3145,1.3145,1.3145,16,3,1
44.06,48.27,46.1,39.23,39.43,40.43,54.31,66.03,70.86,79.85,77.53,71.66,-0.00004,0.00005,0.00001,-0.00011,-0.00012,-0.0001,-0.00016,-0.00014,-0.00016,-0.00021,-0.00022,-0.00022,-0.0002,-0.00019,-0.0002,-0.00023,-0.00023,-0.00023,-1.33257,-0.00018,-0.00019,-0.0002,-0.0002,-0.0002,0.00148,0.0017,0.00186,0.00208,0.00229,0.00241,99.98,100.14,100.12,99.98,99.9,99.68,0.58,0.67,0.57,0.4,0.38,0.39,97.69,200.98,171.5,25.4,46.23,1.43,0.11,0.44,1.57,0.15,-0.05,-0.2,-0.00114,-0.00124,-0.00145,-0.00165,-0.00176,-0.00189,-0.00027,0.00054,-0.00078,-0.00103,-0.00045,-0.00111,0.00149,0.00249,0.0023,0.00027,0.0002,0.00011,-47.21,-29.68,-32.98,-44.19,-42.78,-71.32,1.3136,1.3136,1.3136,1.3136,1.3136,1.3136,20,3,1
50.59,44.06,48.27,46.1,39.23,39.43,56.34,54.31,66.03,70.86,79.85,77.53,0.00008,-0.00004,0.00005,0.00001,-0.00011,-0.00012,-0.00011,-0.00016,-0.00014,-0.00016,-0.00021,-0.00022,-0.00017,-0.0002,-0.00019,-0.0002,-0.00023,-0.00023,-1.33238,-0.00019,-0.00018,-0.00019,-0.0002,-0.0002,0.00133,0.00148,0.0017,0.00186,0.00208,0.00229,100.11,99.98,100.14,100.12,99.98,99.9,0.99,0.58,0.67,0.57,0.4,0.38,132.01,97.69,200.98,171.5,25.4,46.23,0.46,0.11,0.44,1.57,0.15,-0.05,-0.00094,-0.00114,-0.00124,-0.00145,-0.00165,-0.00176,-0.00018,-0.00027,0.00054,-0.00078,-0.00103,-0.00045,0.0015,0.00149,0.00249,0.0023,0.00027,0.0002,-22.51,-47.21,-29.68,-32.98,-44.19,-42.78,1.3149,1.3149,1.3149,1.3149,1.3149,1.3149,0,4,1
48.29,50.59,44.06,48.27,46.1,39.23,53.85,56.34,54.31,66.03,70.86,79.85,0.00003,0.00008,-0.00004,0.00005,0.00001,-0.00011,-0.00012,-0.00011,-0.00016,-0.00014,-0.00016,-0.00021,-0.00018,-0.00017,-0.0002,-0.00019,-0.0002,-0.00023,-1.3322,-0.00017,-0.00019,-0.00018,-0.00019,-0.0002,0.00135,0.00133,0.00148,0.0017,0.00186,0.00208,100.12,100.11,99.98,100.14,100.12,99.98,0.85,0.99,0.58,0.67,0.57,0.4,113.49,132.01,97.69,200.98,171.5,25.4,0.27,0.46,0.11,0.44,1.57,0.15,-0.00082,-0.00094,-0.00114,-0.00124,-0.00145,-0.00165,0.00051,-0.00018,-0.00027,0.00054,-0.00078,-0.00103,0.00156,0.0015,0.00149,0.00249,0.0023,0.00027,-31.87,-22.51,-47.21,-29.68,-32.98,-44.19,1.3144,1.3144,1.3144,1.3144,1.3144,1.3144,4,4,1
49.71,48.29,50.59,44.06,48.27,46.1,59.32,53.85,56.34,54.31,66.03,70.86,0.00005,0.00003,0.00008,-0.00004,0.00005,0.00001,-0.00011,-0.00012,-0.00011,-0.00016,-0.00014,-0.00016,-0.00017,-0.00018,-0.00017,-0.0002,-0.00019,-0.0002,-1.33203,-0.00018,-0.00017,-0.00019,-0.00018,-0.00019,0.00137,0.00135,0.00133,0.00148,0.0017,0.00186,100.15,100.12,100.11,99.98,100.14,100.12,0.88,0.85,0.99,0.58,0.67,0.57,90.11,113.49,132.01,97.69,200.98,171.5,0.42,0.27,0.46,0.11,0.44,1.57,-0.00069,-0.00082,-0.00094,-0.00114,-0.00124,-0.00145,0.00038,0.00051,-0.00018,-0.00027,0.00054,-0.00078,0.00103,0.00156,0.0015,0.00149,0.00249,0.0023,-26.49,-31.87,-22.51,-47.21,-29.68,-32.98,1.3147,1.3147,1.3147,1.3147,1.3147,1.3147,8,4,1
48.96,49.71,48.29,50.59,44.06,48.27,54.27,59.32,53.85,56.34,54.31,66.03,0.00003,0.00005,0.00003,0.00008,-0.00004,0.00005,-0.00011,-0.00011,-0.00012,-0.00011,-0.00016,-0.00014,-0.00017,-0.00017,-0.00018,-0.00017,-0.0002,-0.00019,-1.33185,-0.00017,-0.00018,-0.00017,-0.00019,-0.00018,0.00135,0.00137,0.00135,0.00133,0.00148,0.0017,100.2,100.15,100.12,100.11,99.98,100.14,0.81,0.88,0.85,0.99,0.58,0.67,69.62,90.11,113.49,132.01,97.69,200.98,1.1,0.42,0.27,0.46,0.11,0.44,-0.00059,-0.00069,-0.00082,-0.00094,-0.00114,-0.00124,-0.00038,0.00038,0.00051,-0.00018,-0.00027,0.00054,0.00138,0.00103,0.00156,0.0015,0.00149,0.00249,-29.28,-26.49,-31.87,-22.51,-47.21,-29.68,1.3145,1.3145,1.3145,1.3145,1.3145,1.3145,12,4,1
19.26,48.96,49.71,48.29,50.59,44.06,20.97,54.27,59.32,53.85,56.34,54.31,-0.00124,0.00003,0.00005,0.00003,0.00008,-0.00004,-0.00063,-0.00011,-0.00011,-0.00012,-0.00011,-0.00016,-0.00043,-0.00017,-0.00017,-0.00018,-0.00017,-0.0002,-1.33168,-0.00017,-0.00017,-0.00018,-0.00017,-0.00019,0.00283,0.00135,0.00137,0.00135,0.00133,0.00148,99.17,100.2,100.15,100.12,100.11,99.98,-0.52,0.81,0.88,0.85,0.99,0.58,-351.64,69.62,90.11,113.49,132.01,97.69,-20.93,1.1,0.42,0.27,0.46,0.11,-0.00157,-0.00059,-0.00069,-0.00082,-0.00094,-0.00114,-0.01265,-0.00038,0.00038,0.00051,-0.00018,-0.00027,0.00243,0.00138,0.00103,0.00156,0.0015,0.00149,-89.85,-29.28,-26.49,-31.87,-22.51,-47.21,1.3012,1.3012,1.3012,1.3012,1.3012,1.3012,16,4,1
14.87,19.26,48.96,49.71,48.29,50.59,14.81,20.97,54.27,59.32,53.85,56.34,-0.00169,-0.00124,0.00003,0.00005,0.00003,0.00008,-0.00084,-0.00063,-0.00011,-0.00011,-0.00012,-0.00011,-0.00054,-0.00043,-0.00017,-0.00017,-0.00018,-0.00017,-1.33138,-0.0003,-0.00017,-0.00017,-0.00018,-0.00017,0.00476,0.00283,0.00135,0.00137,0.00135,0.00133,98.78,99.17,100.2,100.15,100.12,100.11,-0.38,-0.52,0.81,0.88,0.85,0.99,-325.92,-351.64,69.62,90.11,113.49,132.01,-21.53,-20.93,1.1,0.42,0.27,0.46,-0.0028,-0.00157,-0.00059,-0.00069,-0.00082,-0.00094,-0.01776,-0.01265,-0.00038,0.00038,0.00051,-0.00018,-0.00827,0.00243,0.00138,0.00103,0.00156,0.0015,-86.7,-89.85,-29.28,-26.49,-31.87,-22.51,1.2952,1.2952,1.2952,1.2952,1.2952,1.2952,20,4,1
13.95,14.87,19.26,48.96,49.71,48.29,10.25,14.81,20.97,54.27,59.32,53.85,-0.00169,-0.00169,-0.00124,0.00003,0.00005,0.00003,-0.00087,-0.00084,-0.00063,-0.00011,-0.00011,-0.00012,-0.00056,-0.00054,-0.00043,-0.00017,-0.00017,-0.00018,-1.33102,-0.00036,-0.0003,-0.00017,-0.00017,-0.00018,0.00627,0.00476,0.00283,0.00135,0.00137,0.00135,98.56,98.78,99.17,100.2,100.15,100.12,-0.2,-0.38,-0.52,0.81,0.88,0.85,-210.74,-325.92,-351.64,69.62,90.11,113.49,-8.04,-21.53,-20.93,1.1,0.42,0.27,-0.00386,-0.0028,-0.00157,-0.00059,-0.00069,-0.00082,-0.01391,-0.01776,-0.01265,-0.00038,0.00038,0.00051,-0.01178,-0.00827,0.00243,0.00138,0.00103,0.00156,-93.5,-86.7,-89.85,-29.28,-26.49,-31.87,1.2936,1.2936,1.2936,1.2936,1.2936,1.2936,0,5,0
14.31,14.37,13.95,14.87,19.26,48.96,6.96,9.16,10.25,14.81,20.97,54.27,-0.00138,-0.00151,-0.00169,-0.00169,-0.00124,0.00003,-0.0008,-0.00083,-0.00087,-0.00084,-0.00063,-0.00011,-0.00054,-0.00055,-0.00056,-0.00054,-0.00043,-0.00017,-1.33028,-0.00037,-0.00037,-0.00036,-0.0003,-0.00017,0.00825,0.00738,0.00627,0.00476,0.00283,0.00135,98.5,98.54,98.56,98.78,99.17,100.2,0.02,-0.06,-0.2,-0.38,-0.52,0.81,-117.87,-154.77,-210.74,-325.92,-351.64,69.62,-4.47,-7.68,-8.04,-21.53,-20.93,1.1,-0.0052,-0.00464,-0.00386,-0.0028,-0.00157,-0.00059,-0.01076,-0.01328,-0.01391,-0.01776,-0.01265,-0.00038,-0.00991,-0.01144,-0.01178,-0.00827,0.00243,0.00138,-93.37,-93,-93.5,-86.7,-89.85,-29.28,1.2936,1.2936,1.2936,1.2936,1.2936,1.2936,8,5,0
21.32,14.31,14.37,13.95,14.87,19.26,12.15,6.96,9.16,10.25,14.81,20.97,-0.00107,-0.00138,-0.00151,-0.00169,-0.00169,-0.00124,-0.0007,-0.0008,-0.00083,-0.00087,-0.00084,-0.00063,-0.00049,-0.00054,-0.00055,-0.00056,-0.00054,-0.00043,-1.32991,-0.00036,-0.00037,-0.00037,-0.00036,-0.0003,0.00878,0.00825,0.00738,0.00627,0.00476,0.00283,98.67,98.5,98.54,98.56,98.78,99.17,0.13,0.02,-0.06,-0.2,-0.38,-0.52,-88,-117.87,-154.77,-210.74,-325.92,-351.64,-12.51,-4.47,-7.68,-8.04,-21.53,-20.93,-0.00543,-0.0052,-0.00464,-0.00386,-0.0028,-0.00157,-0.00928,-0.01076,-0.01328,-0.01391,-0.01776,-0.01265,-0.00682,-0.00991,-0.01144,-0.01178,-0.00827,0.00243,-85.54,-93.37,-93,-93.5,-86.7,-89.85,1.2955,1.2955,1.2955,1.2955,1.2955,1.2955,12,5,1
